id;título;materia;periodicidad;modified;geo;territorial;por qué;temporal;por qué;vivo;api;tag swagger;formatos;palabras inversión;abierto;explorable;candidato
283;Zonas verdes de Zaragoza;Medio Ambiente;-;2022-06-16;S;sí;geo=S;no;;no (1542 d, sin periodicidad);no;;solr sparql-query;equipamiento;sí;sí;no
284;Edificios históricos en Zaragoza;Cultura y Ocio;P1Y;2015-02-09;S;sí;geo=S;sí;periodicidad P1Y, palabra:históric;no (ratio 11,6);sí;Turismo: Edificios historico artisticos;api solr sparql-query;equipamiento patrimonio;sí;no;no
293;Boletín Económico Ciudad de  Zaragoza Nº 5 (1º Trimestre 2011);Economía;-;2011-01-18;N;no;;sí;palabra:trimestr;no (5709 d, sin periodicidad);no;;ms-excel oasis.opendocument.spreadsheet;contrat licencia;sí;no;no
290;Centros proveedores de servicios públicos;Sector Público;P3M;2022-06-17;S;sí;geo=S;sí;periodicidad P3M;no (ratio 17,1);no;;rdf+xml sparql-results+json sparql-results+xml text/rdf+n3 x-turtle;;sí;sí;no
79;Puntos WIFI;Ciencia y Tecnología;-;2015-03-06;S;sí;geo=S;no;;no (4201 d, sin periodicidad);sí;Equipamientos y movilidad: Puntos wifi;api;;sí;no;no
218;Boletín Económico Ciudad de  Zaragoza Nº 2 (2º Trimestre 2010);Economía;-;2010-04-15;N;no;;sí;palabra:trimestr;no (5987 d, sin periodicidad);no;;ms-excel oasis.opendocument.spreadsheet;contrat licencia;sí;no;no
219;Boletín Económico Ciudad de  Zaragoza Nº 4 (4º Trimestre 2010);Economía;-;2010-10-18;N;no;;sí;palabra:trimestr;no (5801 d, sin periodicidad);no;;ms-excel oasis.opendocument.spreadsheet;contrat licencia;sí;no;no
146;Oferta de Empleo;Empleo;P0DT1S;-;N;no;;sí;tiempo real;no evaluable (sin modified);sí;Ayuntamiento: Oferta de empleo;api sparql-query;contrat;sí;no;no
86;Monumentos;Cultura y Ocio;P0DT1S;2015-02-09;S;sí;geo=S;sí;tiempo real, palabra:históric;no evaluable (tiempo real);sí;Turismo: Monumentos;api solr sparql-query text/xml;patrimonio;sí;no;no
1080;Mapas colaborativos ;Sector Público;P0DT1S;2014-07-08;S;sí;geo=S, palabra:mapa;sí;tiempo real;no evaluable (tiempo real);sí;Gobierno abierto: Mapas colaborativos;api;;sí;no;no
299;Desarrollo de Planeamiento;Urbanismo e Infraestructuras;P1Y;2012-01-12;N;no;;sí;periodicidad P1Y;no (ratio 14,7);no;;ms-excel oasis.opendocument.spreadsheet;urbaniz;sí;no;no
315;Bomberos;Seguridad;-;2026-07-14;N;no;;sí;palabra:anual;sí (53 d, sin periodicidad);no;;ms-excel text/csv;;no;no;no
319;Agenda Juvenil;Cultura y Ocio;P0DT1S;2024-02-23;S;sí;geo=S;sí;tiempo real;no evaluable (tiempo real);no;;solr;equipamiento;sí;no;no
1260;Cita previa;Sector Público;P0DT1S;2019-05-08;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;Ayuntamiento: Cita Previa;api;;sí;no;no
302;Datos Demográficos Totales de Zaragoza;Demografía;-;2013-02-05;N;no;;no;;no (4960 d, sin periodicidad);no;;json ms-excel text/csv;;sí;no;no
314;Recogida de Residuos;Medio Ambiente;-;-;N;no;;sí;palabra:anual;no evaluable (sin modified);no;;ms-excel text/csv;;sí;no;no
334;Estacionamientos motos;Transporte;-;2022-06-16;S;sí;geo=S;no;;no (1542 d, sin periodicidad);sí;Equipamientos y movilidad: Aparcamientos para motos;api sparql-query;;sí;sí;no
2700;Fiestas del Pilar;Cultura y Ocio;-;2022-09-23;S;sí;geo=S, spatialRepresentationTypeCode;no;;no (1443 d, sin periodicidad);sí;Agenda Zaragoza;api;;sí;sí;no
306;Modelado 3D de edificios;Ciencia y Tecnología;-;2012-03-30;N;no;;no;;no (5272 d, sin periodicidad);no;;zip;;sí;no;no
308;Climatología, Territorio y Medio Ambiente;Medio Ambiente;-;-;N;no;;no;;no evaluable (sin modified);no;;ms-excel text/csv;;sí;no;no
309;Economía;Economía;-;-;N;no;;no;;no evaluable (sin modified);no;;ms-excel text/csv;;sí;no;no
316;Policia Local;Seguridad;-;-;N;no;;sí;palabra:anual;no evaluable (sin modified);no;;ms-excel text/csv;;sí;no;no
317;Elecciones Municipales;Sociedad y Bienestar;-;-;N;no;;sí;palabra:2007;no evaluable (sin modified);no;;ms-excel text/csv;;sí;no;no
318;Elecciones Generales;Sociedad y Bienestar;-;-;N;no;;sí;palabra:2008;no evaluable (sin modified);no;;ms-excel text/csv;;sí;no;no
321;Piscinas de Verano;Deporte;P0DT1S;2022-06-16;S;sí;geo=S;sí;tiempo real;no evaluable (tiempo real);sí;;json ms-excel text/csv;equipamiento;sí;sí;no
304;Taxi;Transporte;P1Y;2017-05-12;S;sí;geo=S;sí;periodicidad P1Y;no (ratio 9,3);sí;Equipamientos y movilidad: Paradas de taxi;api sparql-query;;no;no;no
322;Boletín Económico Ciudad de Zaragoza Nº 3 (3er Trimestre 2010);Economía;-;2010-07-19;N;no;;sí;palabra:trimestr;no (5892 d, sin periodicidad);no;;ms-excel oasis.opendocument.spreadsheet;contrat licencia;sí;no;no
325;Presupuesto Municipal 2010;Hacienda;P1Y;2010-02-11;N;no;;sí;periodicidad P1Y, palabra:2010;no (ratio 16,6);no;;json ms-excel oasis.opendocument.spreadsheet;ejecución gasto ingreso presupuest;sí;no;no
326;Presupuestos Municipales Anteriores (2004-2009);Hacienda;-;2009-03-03;N;no;;sí;palabra:2004;no (6395 d, sin periodicidad);no;;text/html;presupuest;sí;no;no
298;Presupuesto Municipal 2011;Hacienda;P1Y;2011-02-04;N;no;;sí;periodicidad P1Y, palabra:2011;no (ratio 15,6);no;;json ms-excel oasis.opendocument.spreadsheet;ejecución gasto ingreso presupuest;sí;no;no
